RPT Number,Discharge Capacity,Current Cycles,Temperature,Past Cycles,Past Discharge Capacity,Commercial,Residential,Calendar,No Calendar,1C,3C,C/2,C/4,Percent Capacity Decrease,Category,g1,v4,v5,w10,w8,w9
15,4.4885516166687,10,35,171.0,4.49615955352783,True,False,True,False,True,False,False,False,0.1692096725784684,False,False,False,True,False,False,False
15,4.31850385665894,10,35,492.0,4.32367658615112,False,True,True,False,False,True,False,False,0.1196372899108323,False,False,False,False,True,False,False
15,4.30778932571411,10,35,489.0,4.30902242660522,True,False,True,False,False,False,True,False,0.0286167201984419,False,False,False,False,False,True,False
15,4.32850456237793,10,35,483.0,4.33900499343872,False,True,True,False,True,False,False,False,0.2420008982858624,True,False,False,False,False,False,True
16,4.47613382339478,0,20,354.0,4.45068216323853,True,False,True,False,False,True,False,False,-0.5718597559375067,False,True,False,False,False,False,False
16,4.43612957000732,0,20,386.0,4.43637895584106,False,True,True,False,False,False,False,True,0.0056213825785077,False,False,True,False,False,False,False
16,4.51626205444336,0,20,171.0,4.4885516166687,True,False,True,False,True,False,False,False,-0.6173581177445839,False,False,False,True,False,False,False
16,4.32101917266846,0,20,492.0,4.31850385665894,False,True,True,False,False,True,False,False,-0.0582450796157378,False,False,False,False,True,False,False
16,4.34257030487061,0,20,489.0,4.30778932571411,True,False,True,False,False,False,True,False,-0.807397403324355,False,False,False,False,False,True,False
16,4.33187198638916,0,20,483.0,4.32850456237793,False,True,True,False,True,False,False,False,-0.0777964759584433,False,False,False,False,False,False,True
17,4.44267702102661,10,35,364.0,4.47613382339478,True,False,False,True,False,True,False,False,0.7474486619078594,True,True,False,False,False,False,False
17,4.3904447555542,10,35,181.0,4.43612957000732,False,True,False,True,False,False,False,True,-1.606694627158213,False,False,True,False,False,False,False
17,4.4793643951416,10,35,499.0,4.51626205444336,True,False,False,True,True,False,False,False,-0.9746069056817172,False,False,False,True,False,False,False
17,4.27435636520386,10,35,396.0,4.32101917266846,False,True,False,True,False,True,False,False,1.570819465841263,True,False,False,False,True,False,False
17,4.30150365829468,10,35,502.0,4.34257030487061,True,False,False,True,False,False,True,False,4.755224421430286,True,False,False,False,False,True,False
18,4.42174959182739,10,20,374.0,4.44267702102661,True,False,False,True,False,True,False,False,0.4710544813447778,True,True,False,False,False,False,False
18,4.41132831573486,10,20,191.0,4.3904447555542,False,True,False,True,False,False,False,True,-0.4756593316483609,False,False,True,False,False,False,False
18,4.45620203018188,10,20,509.0,4.4793643951416,True,False,False,True,True,False,False,False,0.5170904377603613,True,False,False,True,False,False,False
18,4.29074621200562,10,20,406.0,4.27435636520386,False,True,False,True,False,True,False,False,-0.3834459600791357,False,False,False,False,True,False,False
18,4.28052568435669,10,20,512.0,4.30150365829468,True,False,False,True,False,False,True,False,0.4876893199320611,True,False,False,False,False,True,False
19,4.41771030426025,10,35,384.0,4.42174959182739,True,False,False,True,False,True,False,False,0.0913504368181607,False,True,False,False,False,False,False
19,4.38637924194336,10,35,201.0,4.41132831573486,False,True,False,True,False,False,False,True,0.5655682825172657,True,False,True,False,False,False,False
19,4.45102643966675,10,35,519.0,4.45620203018188,True,False,False,True,True,False,False,False,0.1161435338899852,False,False,False,True,False,False,False
19,4.28032255172729,10,35,416.0,4.29074621200562,False,True,False,True,False,True,False,False,0.2429335076766929,True,False,False,False,True,False,False
19,4.26959085464478,10,35,522.0,4.28052568435669,True,False,False,True,False,False,True,False,0.2554552996112644,True,False,False,False,False,True,False
